id,user,temp,gasDetect,fireDetect,lightLevel,humidity,pressure,month,hour,day,year
1,Jane,12.86,0,0,0,63.53,1036.51,5,11,8,2023
2,Jane,14.87,0,0,109,66.93,1019.78,11,10,30,2023
3,John,12.08,0,0,0,49.79,1031.84,4,23,9,2024
4,Default,21.83,0,0,689,57.54,996.72,1,0,2,2024
5,Jane,16.24,0,0,17,71.08,989.89,11,17,14,2020
6,Jane,12.11,0,0,0,52.5,1017.0,5,17,15,2022
7,Default,21.67,0,0,708,59.58,994.06,1,0,7,2024
8,John,8.34,0,0,0,53.47,1025.43,2,8,10,2024
9,Default,23.21,0,0,695,70.69,1011.26,1,0,19,2022
10,John,7.37,0,0,0,50.1,1007.22,2,15,12,2023
11,Jane,15.09,0,0,0,45.49,1003.47,8,0,10,2022
12,Default,22.79,0,0,710,72.87,1005.82,1,0,10,2021
13,Jane,19.32,0,0,534,57.65,1006.86,4,22,2,2021
14,Default,18.9,0,0,450,55.77,1010.53,1,0,2,2020
15,John,15.53,0,0,0,42.34,1013.26,8,23,27,2022
16,Default,17.85,0,0,460,78.09,1028.48,1,0,8,2021
17,Default,16.52,0,0,446,78.61,1018.16,1,0,19,2024
18,Default,16.52,0,0,460,70.24,1015.29,1,0,7,2023
19,Default,22.84,1,0,710,57.18,1023.1,1,1,21,2022
20,John,12.21,0,0,0,58.03,1015.03,3,3,31,2023
21,Jane,15.01,0,0,43,65.45,1004.39,12,9,26,2023
22,Default,22.31,0,0,685,64.84,1008.02,1,1,5,2020
23,Jane,13.3,0,0,0,68.42,1017.06,5,1,3,2022
24,Jane,15.69,0,0,0,37.22,1015.55,8,6,13,2024
25,John,13.3,0,0,0,56.84,1037.42,5,16,22,2021
26,Default,23.57,0,1,680,69.65,1003.69,1,1,27,2020
27,Jane,16.75,0,0,158,66.02,1004.53,3,1,7,2022
28,John,8.77,0,0,0,42.19,1037.12,3,14,19,2024
29,Jane,11.77,0,0,235,54.86,995.82,1,1,28,2024
30,Jane,10.06,0,0,161,46.2,1002.75,11,2,18,2024
31,John,14.18,0,0,0,43.2,1002.29,7,17,8,2021
32,Jane,16.83,0,0,0,71.83,1010.25,10,1,24,2022
33,John,11.88,0,0,0,72.3,996.6,9,2,30,2022
34,Jane,17.6,0,0,0,55.04,995.81,10,5,30,2022
35,Jane,13.85,0,0,0,52.22,1006.02,6,0,25,2023
36,John,18.92,0,0,330,65.35,998.78,2,19,24,2022
37,Jane,15.93,0,0,0,52.04,995.24,10,3,31,2024
38,John,15.93,0,0,276,48.92,1001.43,10,19,5,2021
39,Jane,14.94,0,0,53,69.54,988.44,10,19,27,2024
40,John,18.2,0,0,44,50.99,1012.47,3,17,15,2020
41,Default,20.02,1,0,434,54.93,1016.35,1,1,22,2024
42,Default,21.64,0,0,442,59.29,1016.31,1,1,28,2020
43,Default,18.57,0,1,427,60.19,990.66,1,1,26,2023
44,John,20.59,0,0,229,50.41,1034.94,3,17,11,2020
45,Jane,11.39,0,0,318,49.71,1003.66,6,23,11,2022
46,Jane,16.21,0,0,278,48.83,1027.16,4,6,15,2022
47,Default,24.12,0,0,680,79.26,1027.29,1,2,8,2024
48,Default,21.47,0,0,427,59.88,993.0,1,2,17,2023
49,Jane,13.92,0,0,0,49.43,1018.21,6,19,4,2021
50,Jane,15.49,0,0,0,40.47,1003.65,7,4,19,2024
51,Jane,10.46,0,0,270,71.56,1002.61,1,23,11,2024
52,Default,27.29,0,0,641,74.11,1010.56,1,3,26,2023
53,John,18.41,0,0,352,50.43,997.21,10,21,22,2020
54,John,13.51,0,0,0,43.45,1001.55,6,19,27,2020
55,Default,24.3,0,0,413,62.19,1001.86,1,3,21,2022
56,Default,27.2,0,0,616,63.93,1006.8,1,4,8,2024
57,Jane,11.79,0,0,0,51.61,1017.17,8,9,23,2020
58,Default,25.69,0,0,598,74.4,1019.0,1,4,12,2020
59,John,8.1,0,0,227,68.62,1015.87,11,7,15,2023
60,John,11.6,0,0,0,63.65,986.49,9,12,3,2023
61,John,18.08,0,0,597,65.59,1006.22,4,21,10,2023
62,Default,25.57,0,0,602,74.74,1003.82,1,4,12,2023
63,Jane,13.15,0,0,99,56.24,1038.46,3,15,19,2021
64,John,13.19,0,0,0,30.67,1015.53,7,2,8,2020
65,John,13.1,0,0,0,52.7,990.92,10,13,3,2024
66,John,15.47,0,0,0,34.86,1007.61,6,16,11,2020
67,Default,26.13,0,0,603,78.09,1003.45,1,4,18,2024
68,Default,26.93,1,0,597,55.98,1028.81,1,4,19,2024
69,John,6.21,0,0,0,55.9,1019.05,12,11,16,2021
70,Jane,19.29,0,0,467,60.44,1001.89,10,21,6,2023
71,Default,24.44,0,0,374,61.9,1011.55,1,4,26,2023
72,Default,23.18,0,0,350,55.3,997.27,1,4,18,2024
73,Jane,17.41,0,0,172,46.22,1018.07,3,4,17,2022
74,John,15.34,0,0,0,48.05,1036.02,5,2,28,2021
75,John,9.34,0,0,0,42.28,1038.68,4,14,2,2020
76,Default,24.5,0,0,371,68.11,999.3,1,4,30,2024
77,Default,23.83,0,0,384,65.13,1012.84,1,4,8,2021
78,Default,23.77,1,0,386,64.45,994.99,1,4,21,2021
79,Default,25.87,0,1,545,54.67,1014.74,1,5,24,2022
80,John,6.86,0,0,36,55.62,1012.3,1,2,13,2021
81,Jane,16.35,0,0,0,62.74,994.9,9,0,7,2022
