id,user,temp,gasDetect,fireDetect,lightLevel,month,hour,day,year
2552,John,18.89,0,0,559,11,18,30,2024
5097,Jane,13.88,0,0,165,11,15,30,2024
7851,John,4.38,0,0,0,11,14,30,2024
8564,Jane,13.28,0,0,86,11,9,30,2024
3838,Jane,10.6,0,0,225,11,3,30,2024
2292,John,7.31,0,0,192,11,23,29,2024
4016,John,6.92,0,0,0,11,13,29,2024
6144,Jane,11.45,0,0,7,11,2,29,2024
5439,Jane,14.96,0,0,40,11,17,28,2024
8374,Jane,15.06,0,0,184,11,16,28,2024
3806,Jane,11.62,0,0,38,11,23,27,2024
3568,Jane,13.06,0,0,449,11,22,27,2024
7806,Jane,14.2,0,0,588,11,21,27,2024
8389,Jane,14.23,0,0,202,11,16,27,2024
7150,Jane,14.69,0,0,57,11,14,27,2024
6126,Jane,12.81,0,0,143,11,12,27,2024
4883,Jane,14.05,0,0,478,11,20,26,2024
8227,Jane,13.03,0,0,401,11,20,26,2024
4435,Jane,15.36,0,0,156,11,13,26,2024
7120,John,6.98,0,0,0,11,10,26,2024
2557,Default,21.88,0,0,168,11,10,25,2024
8043,Jane,11.94,0,0,111,11,7,25,2024
6153,Jane,11.37,0,0,17,11,4,25,2024
8284,Jane,11.01,0,0,225,11,1,25,2024
6146,Jane,13.36,0,0,336,11,21,24,2024
7043,John,14.56,0,0,131,11,16,24,2024
3795,Jane,10.19,0,0,99,11,5,24,2024
2624,Default,16.03,0,0,582,11,20,23,2024
4882,Jane,14.05,0,0,478,11,20,23,2024
3273,John,5.39,0,0,0,11,13,23,2024
1968,Jane,14.96,0,0,24,11,10,23,2024
8731,Jane,11.99,0,0,52,11,9,23,2024
7162,John,7.43,0,0,0,11,8,23,2024
2025,John,11.27,0,0,80,11,3,23,2024
4234,John,11.48,0,0,73,11,2,23,2024
8654,Jane,14.71,0,0,399,11,22,22,2024
4622,John,17.36,0,0,461,11,19,22,2024
7605,John,5.64,0,0,0,11,10,22,2024
2635,Jane,11.38,0,0,270,11,4,22,2024
7277,Jane,11.07,0,0,298,11,15,21,2024
7691,John,2.7,0,0,0,11,12,21,2024
875,John,3.92,0,0,0,11,9,21,2024
6462,Jane,11.08,0,0,31,11,2,21,2024
6369,Jane,15.1,0,0,416,11,19,20,2024
650,Jane,14.55,0,0,300,11,16,20,2024
5099,Jane,13.88,0,0,165,11,15,20,2024
4892,Jane,10.71,0,0,116,11,0,20,2024
3019,John,15.04,0,0,404,11,22,19,2024
8108,John,3.57,0,0,0,11,13,19,2024
1405,Jane,11.61,0,0,127,11,7,19,2024
8544,John,5.85,0,0,94,11,7,19,2024
8597,Jane,13.67,0,0,133,11,14,18,2024
8055,John,6.13,0,0,0,11,13,18,2024
4579,Jane,14.0,0,0,248,11,12,18,2024
6706,John,5.77,0,0,0,11,10,18,2024
867,Jane,10.87,0,0,75,11,7,18,2024
30,Jane,10.06,0,0,161,11,2,18,2024
5197,John,10.66,0,0,29,11,2,18,2024
3040,John,6.89,0,0,143,11,23,17,2024
4472,Jane,12.58,0,0,149,11,9,17,2024
501,Jane,10.53,0,0,137,11,2,17,2024
2655,Default,21.39,0,0,704,11,23,16,2024
7543,Jane,11.48,0,0,110,11,2,16,2024
1600,John,6.67,0,0,165,11,1,16,2024
2489,Default,22.85,0,0,699,11,0,16,2024
2584,Default,12.15,0,0,219,11,16,15,2024
8252,John,6.78,0,0,0,11,12,15,2024
3988,Jane,11.4,0,0,237,11,11,15,2024
3578,Jane,13.97,0,0,274,11,9,15,2024
2512,Default,26.77,0,0,486,11,6,15,2024
4474,John,6.91,0,0,261,11,1,15,2024
2631,Default,18.54,1,0,643,11,21,14,2024
7947,Jane,15.83,0,0,24,11,13,14,2024
7948,Jane,15.83,0,0,24,11,13,14,2024
6152,Jane,11.37,0,0,17,11,4,14,2024
3592,Jane,14.97,0,0,435,11,21,13,2024
7081,Jane,14.44,0,0,461,11,20,13,2024
5096,Jane,13.88,0,0,165,11,15,13,2024
5732,Jane,12.89,0,0,45,11,13,13,2024
3687,Jane,15.69,0,0,15,11,10,13,2024
6896,John,4.79,0,0,0,11,8,13,2024
252,John,7.52,0,0,214,11,4,13,2024
1294,John,12.38,0,0,298,11,16,12,2024
1697,Jane,12.24,0,0,90,11,13,12,2024
6530,John,4.69,0,0,0,11,13,12,2024
8835,John,5.67,0,0,0,11,13,12,2024
8858,Jane,15.88,0,0,295,11,9,12,2024
190,Jane,11.05,0,0,288,11,5,12,2024
4538,John,10.0,0,0,160,11,23,11,2024
3674,John,2.68,0,0,0,11,13,11,2024
4013,John,6.92,0,0,0,11,13,11,2024
7231,Jane,15.35,0,0,209,11,12,11,2024
8524,John,7.28,0,0,0,11,11,11,2024
8294,Jane,10.59,0,0,144,11,2,11,2024
3593,Jane,14.97,0,0,435,11,21,10,2024
7960,Jane,14.0,0,0,314,11,21,10,2024
2592,Default,16.96,1,0,455,11,17,10,2024
1681,John,6.74,0,0,0,11,15,10,2024
570,John,7.07,0,0,209,11,23,9,2024
2588,Default,17.96,0,0,443,11,17,8,2024
6075,Jane,14.26,0,0,241,11,15,8,2024
2684,Jane,10.7,0,0,21,11,6,8,2024
2505,Default,26.65,1,0,546,11,5,8,2024
1855,Jane,11.19,0,0,32,11,0,8,2024
4031,John,11.68,0,0,215,11,0,8,2024
5064,John,16.77,0,0,524,11,19,7,2024
8375,Jane,15.06,0,0,184,11,16,7,2024
8751,Jane,12.5,0,0,71,11,11,7,2024
6843,Jane,14.65,0,0,548,11,20,6,2024
4962,John,15.9,0,0,595,11,19,6,2024
5634,John,16.58,0,0,357,11,19,6,2024
3798,Jane,15.09,0,0,121,11,13,6,2024
3564,John,10.42,0,0,178,11,2,6,2024
4014,John,6.92,0,0,0,11,13,5,2024
2270,Jane,15.9,0,0,26,11,12,5,2024
2223,Jane,14.97,0,0,311,11,21,4,2024
4867,John,15.42,0,0,531,11,19,4,2024
4952,John,13.3,0,0,68,11,17,4,2024
7278,Jane,11.07,0,0,298,11,15,4,2024
696,Jane,14.29,0,0,117,11,11,4,2024
7765,John,10.98,0,0,201,11,3,4,2024
5065,John,16.77,0,0,524,11,19,3,2024
