id,user,temp,gasDetect,fireDetect,lightLevel,month,hour
4,Default,21.83,0,0,689,1,0
7,Default,21.67,0,0,708,1,0
9,Default,23.21,0,0,695,1,0
12,Default,22.79,0,0,710,1,0
14,Default,18.9,0,0,450,1,0
16,Default,17.85,0,0,460,1,0
17,Default,16.52,0,0,446,1,0
18,Default,16.52,0,0,460,1,0
401,John,6.0,0,0,29,1,0
843,John,5.52,0,0,172,1,0
1219,John,5.47,0,0,170,1,0
1548,Jane,11.59,0,0,230,1,0
1715,John,5.63,0,0,232,1,0
2804,John,10.33,0,0,299,1,0
3087,John,9.22,0,0,74,1,0
3923,John,6.02,0,0,160,1,0
3924,John,6.02,0,0,160,1,0
3970,John,11.52,0,0,9,1,0
4736,John,7.56,0,0,276,1,0
4996,Jane,10.57,0,0,15,1,0
5225,Jane,10.04,0,0,63,1,0
6156,John,5.2,0,0,216,1,0
6157,John,5.2,0,0,216,1,0
6253,John,6.83,0,0,246,1,0
6254,John,6.83,0,0,246,1,0
6914,Jane,10.95,0,0,270,1,0
7388,John,6.28,0,0,208,1,0
7389,John,6.28,0,0,208,1,0
7390,John,6.28,0,0,208,1,0
7391,John,6.28,0,0,208,1,0
7841,Jane,11.4,0,0,41,1,0
7842,Jane,11.4,0,0,41,1,0
7843,Jane,11.4,0,0,41,1,0
8611,John,7.79,0,0,240,1,0
19,Default,22.84,1,0,710,1,1
22,Default,22.31,0,0,685,1,1
26,Default,23.57,0,1,680,1,1
29,Jane,11.77,0,0,235,1,1
41,Default,20.02,1,0,434,1,1
42,Default,21.64,0,0,442,1,1
43,Default,18.57,0,1,427,1,1
980,Jane,10.23,0,0,86,1,1
1187,Jane,10.69,0,0,259,1,1
1489,Jane,10.96,0,0,269,1,1
1666,Jane,11.75,0,0,182,1,1
1844,John,7.88,0,0,16,1,1
2117,Jane,11.73,0,0,275,1,1
2484,Jane,11.4,0,0,233,1,1
2595,Jane,10.46,0,0,153,1,1
2839,John,7.5,0,0,239,1,1
2858,Jane,11.66,0,0,61,1,1
3158,Jane,10.58,0,0,196,1,1
3159,Jane,10.58,0,0,196,1,1
3336,John,10.15,0,0,258,1,1
3526,Jane,10.74,0,0,258,1,1
4226,John,6.85,0,0,122,1,1
4336,Jane,10.41,0,0,286,1,1
4428,Jane,10.97,0,0,77,1,1
4522,Jane,11.14,0,0,66,1,1
4526,Jane,10.66,0,0,89,1,1
5036,John,11.24,0,0,65,1,1
5037,John,11.24,0,0,65,1,1
5066,Jane,11.29,0,0,267,1,1
5067,Jane,11.29,0,0,267,1,1
5068,Jane,11.29,0,0,267,1,1
5273,John,8.39,0,0,260,1,1
5274,John,8.39,0,0,260,1,1
5275,John,8.39,0,0,260,1,1
5276,John,8.39,0,0,260,1,1
5500,Jane,10.59,0,0,259,1,1
5501,Jane,10.59,0,0,259,1,1
5994,John,6.59,0,0,40,1,1
5995,John,6.59,0,0,40,1,1
6985,John,9.27,0,0,153,1,1
47,Default,24.12,0,0,680,1,2
48,Default,21.47,0,0,427,1,2
80,John,6.86,0,0,36,1,2
228,Jane,11.89,0,0,188,1,2
423,Jane,10.5,0,0,236,1,2
554,Jane,10.11,0,0,261,1,2
2030,Jane,11.04,0,0,102,1,2
2805,John,5.47,0,0,95,1,2
2833,John,6.3,0,0,34,1,2
3140,Jane,10.44,0,0,229,1,2
3141,Jane,10.44,0,0,229,1,2
3875,Jane,11.45,0,0,85,1,2
3925,John,5.53,0,0,135,1,2
4354,Jane,11.25,0,0,199,1,2
4423,John,8.59,0,0,143,1,2
4424,John,8.59,0,0,143,1,2
4425,John,8.59,0,0,143,1,2
4559,Jane,11.64,0,0,192,1,2
4710,John,6.78,0,0,180,1,2
4856,Jane,10.12,0,0,217,1,2
5290,John,5.72,0,0,238,1,2
5291,John,5.72,0,0,238,1,2
5387,John,10.05,0,0,66,1,2
5388,John,10.05,0,0,66,1,2
5389,John,10.05,0,0,66,1,2
5621,John,9.96,0,0,125,1,2
5801,Jane,11.99,0,0,43,1,2
6099,Jane,10.75,0,0,32,1,2
6100,Jane,10.75,0,0,32,1,2
7025,John,5.26,0,0,77,1,2
7255,Jane,11.45,0,0,204,1,2
7907,Jane,10.04,0,0,284,1,2
8576,Jane,10.54,0,0,66,1,2
8577,Jane,10.54,0,0,66,1,2
8578,Jane,10.54,0,0,66,1,2
8704,Jane,10.16,0,0,128,1,2
52,Default,27.29,0,0,641,1,3
55,Default,24.3,0,0,413,1,3
1046,John,9.71,0,0,278,1,3
1070,Jane,11.4,0,0,274,1,3
1585,John,10.89,0,0,4,1,3
1878,John,8.16,0,0,171,1,3
2108,John,7.59,0,0,106,1,3
3423,Jane,10.16,0,0,230,1,3
3500,John,11.07,0,0,189,1,3
3624,Jane,11.99,0,0,175,1,3
3995,Jane,10.26,0,0,36,1,3
4132,John,11.19,0,0,58,1,3
4211,John,5.41,0,0,113,1,3
5161,Jane,10.08,0,0,15,1,3
5162,Jane,10.08,0,0,15,1,3
5163,Jane,10.08,0,0,15,1,3
5164,Jane,10.08,0,0,15,1,3
5580,Jane,11.8,0,0,291,1,3
